,epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
103,23,2020-06-03,19,MG,Catas Altas,3115359.0,city,10,186.0119,0,0,0,0.0,5376.0,True,False
104,23,2020-06-03,4,MG,Catas Altas da Noruega,3115409.0,city,2,54.929959999999994,1,0,0,0.0,3641.0,True,False
105,23,2020-06-03,34,MG,Catuji,3115458.0,city,6,95.0721,0,0,0,0.0,6311.0,True,False
106,23,2020-06-03,24,MG,Caxambu,3115508.0,city,9,41.55892,1,1,0,0.1111,21656.0,True,False
107,23,2020-06-03,59,MG,Centralina,3115805.0,city,14,135.2657,3,1,0,0.0714,10350.0,True,False
108,23,2020-06-03,20,MG,Chácara,3115904.0,city,1,31.70577,0,0,0,0.0,3154.0,True,False
109,23,2020-06-03,12,MG,Chalé,3116001.0,city,3,52.594669999999994,0,0,0,0.0,5704.0,True,False
110,23,2020-06-03,22,MG,Chiador,3116209.0,city,16,595.45962,0,0,0,0.0,2687.0,True,False
111,23,2020-06-03,16,MG,Cipotânea,3116308.0,city,0,,0,0,0,0.0,6787.0,True,False
112,23,2020-06-03,27,MG,Cláudio,3116605.0,city,3,10.48328,0,0,0,0.0,28617.0,True,False
113,23,2020-06-03,5,MG,Coimbra,3116704.0,city,1,13.234520000000002,0,0,0,0.0,7556.0,True,False
114,23,2020-06-03,30,MG,Comercinho,3117009.0,city,1,14.4321,0,0,0,0.0,6929.0,True,False
115,23,2020-06-03,54,MG,Conceição das Alagoas,3117306.0,city,2,7.170260000000001,0,0,0,0.0,27893.0,True,False
116,23,2020-06-03,9,MG,Conceição do Mato Dentro,3117504.0,city,2,11.20951,0,0,0,0.0,17842.0,True,False
117,23,2020-06-03,20,MG,Conceição do Rio Verde,3117702.0,city,2,14.66491,0,0,0,0.0,13638.0,True,False
118,23,2020-06-03,6,MG,Conceição dos Ouros,3117801.0,city,2,17.18508,0,0,0,0.0,11638.0,True,False
119,23,2020-06-03,25,MG,Congonhal,3117900.0,city,1,8.3682,0,0,0,0.0,11950.0,True,False
120,23,2020-06-03,23,MG,Congonhas,3118007.0,city,29,52.956430000000005,3,1,0,0.0345,54762.0,True,False
121,23,2020-06-03,48,MG,Conselheiro Lafaiete,3118304.0,city,36,27.996170000000003,6,0,0,0.0,128589.0,True,False
122,23,2020-06-03,9,MG,Conselheiro Pena,3118403.0,city,6,26.17687,5,0,0,0.0,22921.0,True,False
123,23,2020-06-03,73,MG,Contagem,3118601.0,city,297,44.738690000000005,25,13,3,0.0438,663855.0,True,False
124,23,2020-06-03,11,MG,Coqueiral,3118700.0,city,1,10.91822,0,0,0,0.0,9159.0,True,False
125,23,2020-06-03,13,MG,Corinto,3119104.0,city,25,105.34743999999999,2,0,0,0.0,23731.0,True,False
126,23,2020-06-03,48,MG,Coromandel,3119302.0,city,7,25.023239999999998,0,0,0,0.0,27974.0,True,False
127,23,2020-06-03,79,MG,Coronel Fabriciano,3119401.0,city,99,90.11879,5,0,0,0.0,109855.0,True,False
128,23,2020-06-03,7,MG,Coronel Pacheco,3119609.0,city,1,32.40441,0,0,0,0.0,3086.0,True,False
129,23,2020-06-03,20,MG,Córrego do Bom Jesus,3119906.0,city,9,242.98056,0,0,0,0.0,3704.0,True,False
130,23,2020-06-03,7,MG,Córrego Novo,3120003.0,city,1,36.08805,0,0,0,0.0,2771.0,True,False
131,23,2020-06-03,28,MG,Couto de Magalhães de Minas,3120102.0,city,4,90.70295,2,0,0,0.0,4410.0,True,False
132,23,2020-06-03,8,MG,Crisólita,3120151.0,city,5,74.58234,1,0,0,0.0,6704.0,True,False
133,23,2020-06-03,22,MG,Cristina,3120508.0,city,2,19.52744,0,0,0,0.0,10242.0,True,False
134,23,2020-06-03,22,MG,Cruzília,3120805.0,city,5,32.43173,1,0,0,0.0,15417.0,True,False
135,23,2020-06-03,45,MG,Curvelo,3120904.0,city,47,58.65541999999999,0,0,0,0.0,80129.0,True,False
136,23,2020-06-03,21,MG,Delfim Moreira,3121100.0,city,7,87.22740999999999,0,0,0,0.0,8025.0,True,False
137,23,2020-06-03,17,MG,Delfinópolis,3121209.0,city,1,14.05679,0,0,0,0.0,7114.0,True,False
138,23,2020-06-03,7,MG,Delta,3121258.0,city,1,9.49397,0,0,0,0.0,10533.0,True,False
139,23,2020-06-03,6,MG,Descoberto,3121308.0,city,1,19.94813,0,0,0,0.0,5013.0,True,False
140,23,2020-06-03,20,MG,Diamantina,3121605.0,city,9,18.858829999999998,0,0,0,0.0,47723.0,True,False
141,23,2020-06-03,36,MG,Diogo de Vasconcelos,3121704.0,city,3,78.90584,0,0,0,0.0,3802.0,True,False
142,23,2020-06-03,27,MG,Dionísio,3121803.0,city,5,64.69142,0,0,0,0.0,7729.0,True,False
143,23,2020-06-03,59,MG,Divinésia,3121902.0,city,1,29.26544,0,0,0,0.0,3417.0,True,False
144,23,2020-06-03,29,MG,Divino,3122009.0,city,5,25.08655,0,0,0,0.0,19931.0,True,False
145,23,2020-06-03,15,MG,Divino das Laranjeiras,3122108.0,city,1,20.08435,0,0,0,0.0,4979.0,True,False
146,23,2020-06-03,88,MG,Divinópolis,3122306.0,city,199,83.53272,7,2,0,0.0101,238230.0,True,False
147,23,2020-06-03,8,MG,Divisa Alegre,3122355.0,city,5,73.68111,3,0,0,0.0,6786.0,True,False
148,23,2020-06-03,35,MG,Divisa Nova,3122405.0,city,1,16.63617,0,0,0,0.0,6011.0,True,False
149,23,2020-06-03,1,MG,Dom Bosco,3122470.0,city,1,27.19608,1,0,0,0.0,3677.0,True,False
150,23,2020-06-03,8,MG,Dom Cavati,3122504.0,city,1,19.716089999999998,0,0,0,0.0,5072.0,True,False
151,23,2020-06-03,11,MG,Dores do Indaiá,3123205.0,city,1,7.41675,0,0,0,0.0,13483.0,True,False
152,23,2020-06-03,5,MG,Durandé,3123528.0,city,2,25.50695,1,0,0,0.0,7841.0,True,False
153,23,2020-06-03,28,MG,Elói Mendes,3123601.0,city,6,21.37057,0,0,0,0.0,28076.0,True,False
154,23,2020-06-03,22,MG,Engenheiro Caldas,3123700.0,city,0,,0,0,0,0.0,11134.0,True,False
155,23,2020-06-03,13,MG,Engenheiro Navarro,3123809.0,city,1,13.80834,0,0,0,0.0,7242.0,True,False
156,23,2020-06-03,2,MG,Entre Folhas,3123858.0,city,1,18.62197,0,0,0,0.0,5370.0,True,False
157,23,2020-06-03,16,MG,Ervália,3124005.0,city,3,15.877220000000001,0,0,0,0.0,18895.0,True,False
158,23,2020-06-03,62,MG,Esmeraldas,3124104.0,city,15,21.26091,1,0,0,0.0,70552.0,True,False
159,23,2020-06-03,47,MG,Espera Feliz,3124203.0,city,24,96.18853,2,0,0,0.0,24951.0,True,False
160,23,2020-06-03,53,MG,Espinosa,3124302.0,city,5,15.814279999999998,0,1,0,0.2,31617.0,True,False
161,23,2020-06-03,44,MG,Espírito Santo do Dourado,3124401.0,city,3,63.93861999999999,0,0,0,0.0,4692.0,True,False
162,23,2020-06-03,41,MG,Estiva,3124500.0,city,15,132.11203,1,1,0,0.0667,11354.0,True,False
